X,Y,OBJECTID,SourceOID,ABCDMisc,ADSPermissionState,ContainmentDateTime,ControlDateTime,CreatedBySystem,IncidentSize,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalAcres,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsReimbursable,IsTrespass,IsUnifiedCommand,LocalIncidentIdentifier,ModifiedBySystem,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,EstimatedFinalCost,OrganizationalAssessment,StrategicDecisionPublishDate,CreatedOnDateTime_dt,ModifiedOnDateTime_dt,IsCpxChild,CpxName,CpxID,SourceGlobalID,GlobalID
-116.848211873,33.0707348190001,292712,23872221,,DEFAULT,,,wildcad,1,1,CASDIC,,,,,,,,,,Undetermined,,,,,2023/01/01 15:36:50+00,,,,,,,,,OSCC,,,,,,PRD DISTRICT PILES,,RX,FI,33.07073,-116.8482,,,{EDB381C8-A9BA-4D79-8287-6E2D69B08BF1},,0,0,0,0,0,,000012,wildcad,,,,San Diego,CASDIC,06073,,,,Private,Private,,,,,,,SC08,USFS,CACNF,US-CA,,,,,,2023-CACNF-000012,No Decision,,,,2023/01/01 15:44:07+00,2023/01/01 15:44:09+00,0,,,{F50B8A17-21BC-4387-B727-12376D5E5E6D},{C36456CC-161C-41EE-AA40-9ADF62C32283}
-116.430111786,32.8788848180001,292713,23872220,,DEFAULT,,,wildcad,1,1,CASDIC,,,,,,,,,,Undetermined,,,,,2023/01/01 15:35:31+00,,,,,,,,,OSCC,,,,,,DRD DISTRICT PILES,,RX,FI,32.8317,-116.7389,,,{DF13FA5D-E971-42CB-853B-F204B265C25D},,0,0,0,0,0,,000011,wildcad,,,,San Diego,CASDIC,06073,USFS,,,Private,Private,,,,,,,SC11,USFS,CACNF,US-CA,,,,,,2023-CACNF-000011,No Decision,,,,2023/01/01 15:42:07+00,2023/02/19 21:53:32+00,0,,,{1EF8B000-F6A2-4DF9-953B-729E8264BC4C},{C761F9E9-706E-4FDF-A056-AB2782AE0341}
-116.847811872,33.068854819,292714,23872228,,DEFAULT,,,wildcad,1,1,CASDIC,,,,,,,,,,Undetermined,,,,,2023/01/01 15:49:00+00,,,,,,,,,OSCC,,,,,,PRD ADMIN/STATON PILES,,RX,FI,33.06885,-116.8478,,,{6D4F4738-C8FB-4BD7-8EA6-063C204F36A1},,0,0,0,0,0,,000015,wildcad,,,,San Diego,CASDIC,06073,,,,Private,Private,,,,,,,SC08,USFS,CACNF,US-CA,,,,,,2023-CACNF-000015,No Decision,,,,2023/01/01 15:49:22+00,2023/02/20 21:29:09+00,0,,,{98A1DB27-A78A-4D3C-94E1-C507FFC37578},{119CCE8C-AA7D-4FEC-8A7F-E5506A10680A}
-116.642111856,33.3344848620001,292715,23872236,,DEFAULT,,,wildcad,1,1,CASDIC,,,,,,,,,,Undetermined,,,,,2023/01/01 16:10:20+00,,,,,,,,,OSCC,,,,,,PRD NORTH DISTRICT FUELBREAK PILES RX,,RX,FI,33.33448,-116.6421,,,{57813AC5-48D0-4927-A68E-273B44EA683D},,0,0,0,0,0,,000025,wildcad,,,,San Diego,CASDIC,06073,USFS,CACNF,,USFS,Federal,,,,,,,SC11,USFS,CACNF,US-CA,,,,,,2023-CACNF-000025,No Decision,,,,2023/01/01 16:11:15+00,2023/01/01 16:13:22+00,0,,,{D600B275-BDDE-48BF-99D8-870902A0E441},{8912ECB4-FEC5-4BFD-9541-19AE745F9996}
-117.445112019,33.6453748550001,292717,23872229,,DEFAULT,,,wildcad,1,1,CASDIC,,,,,,,,,,Undetermined,,,,,2023/01/01 15:50:04+00,,,,,,,,,OSCC,,,,,,TRD ADMIN PILES,,RX,FI,33.8709,-117.5485,,,{0E902934-15FC-4AFC-8B25-9BE1ED2FD3B7},,0,0,0,0,0,,000016,wildcad,,,,Orange,CASDIC,06059,USFS,CACNF,,USFS,Federal,,,,,,,SC08,USFS,CACNF,US-CA,,,,,,2023-CACNF-000016,No Decision,,,,2023/01/01 15:50:36+00,2023/01/30 00:40:22+00,0,,,{07F891E9-F739-4E74-879E-46C36C117B91},{8A5D4854-A798-42DC-B771-D2C8D99C1482}
-117.548912055,33.872804875,292718,23872223,,DEFAULT,,,wildcad,1,1,CASDIC,,,,,,,,,,Undetermined,,,,,2023/01/01 15:44:39+00,,,,,,,,,OSCC,,,,,,TRD DISTRICT PILES,,RX,FI,33.8728,-117.5489,,,{577BA8B4-A37B-4D75-8D4E-D3652BD37011},,0,0,0,0,0,,000013,wildcad,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,USFS,CACNF,US-CA,,,,,,2023-CACNF-000013,No Decision,,,,2023/01/01 15:45:16+00,2023/01/01 15:45:18+00,0,,,{103C2FA0-29AD-4611-A45E-D9229CACC0C7},{F74B6000-4E31-4D4A-8135-E39850B1B6AF}
-116.728711834,32.8192347950001,292720,23872230,,DEFAULT,,,wildcad,1,1,CASDIC,,,,,,,,,,Undetermined,,,,,2023/01/01 15:51:24+00,,,,,,,,,OSCC,,,,,,ALPINE COMMUNITY DEFENSE RX,,RX,FI,32.81923,-116.7287,,,{0D3B4F42-0CA9-4CA1-9396-E7173DA29AA0},,0,0,0,0,0,,000017,wildcad,,,,San Diego,CASDIC,06073,,,,Private,Private,,,,,,,SC08,USFS,CACNF,US-CA,,,,,,2023-CACNF-000017,No Decision,,,,2023/01/01 15:52:52+00,2023/01/04 19:55:42+00,0,,,{AF2047AF-3AA4-4F9D-BF05-2915A50D352C},{5A50FCBA-E054-45BE-81BA-3464D8C62205}
-116.738911836,32.8317047960001,292723,23872226,,DEFAULT,,,wildcad,1,1,CASDIC,,,,,,,,,,Undetermined,,,,,2023/01/01 15:46:53+00,,,,,,,,,OSCC,,,,,,DRD ADMIN PILES,,RX,FI,32.8317,-116.7389,,,{F7C5A15E-BB26-46EC-B5E7-F1B7AA57BB2A},,0,0,0,0,0,,000014,wildcad,,,,San Diego,CASDIC,06073,,,,Private,Private,,,,,,,SC08,USFS,CACNF,US-CA,,,,,,2023-CACNF-000014,No Decision,,,,2023/01/01 15:47:57+00,2023/01/01 15:47:59+00,0,,,{EB1444C8-A6BD-4883-AEB7-01D68F2F9067},{A3F98BBA-616A-4D79-AAAC-8A438FF320AE}
-116.770611853,32.9872048130001,292725,23872243,,DEFAULT,,,wildcad,1,1,CASDIC,,,,,,,,,,Undetermined,,,,,2023/01/01 16:01:25+00,,,,,,,,,OSCC,,,,,,RAMONA FUELBREAK PILES RX,,WF,FI,33.07073,-116.8483,,,{E6A28270-4A65-4A4C-80B2-14104FC6068D},,0,0,0,0,0,,000021,wildcad,,,,San Diego,CASDIC,06073,USFS,CACNF,,USFS,Federal,,,,,,,SC08,USFS,CACNF,US-CA,,,,,,2023-CACNF-000021,No Decision,,,,2023/01/01 16:17:11+00,2023/01/14 21:40:24+00,0,,,{5CFD2E95-77FD-42AE-95CC-3FB8381C5D70},{3DB83802-1EEB-4D38-8F14-F8CC83C15481}
-117.447012021,33.6602248560001,292726,23872241,,DEFAULT,,,wildcad,1,1,CASDIC,,,,,,,,,,Undetermined,,,,,2023/01/01 16:12:12+00,,,,,,,,,OSCC,,,,,,NORTH MAIN DIVIDE GATE RX,,RX,FI,33.66022,-117.447,,,{1222D1AC-4531-4333-AD77-0BDCEF0D0077},,0,0,0,0,0,,000026,wildcad,,,,Orange,CASDIC,06059,USFS,CACNF,,USFS,Federal,,,,,,,SC08,USFS,CACNF,US-CA,,,,,,2023-CACNF-000026,No Decision,,,,2023/01/01 16:16:07+00,2023/01/01 16:16:09+00,0,,,{FC3A3A2D-6C67-413A-9BA2-F3713BE5F554},{2345B8F6-A5A5-4CBD-BE78-C35307A51988}
-117.44971202,33.642464854,292727,23872240,,DEFAULT,,,wildcad,1,1,CASDIC,,,,,,,,,,Undetermined,,,,,2023/01/01 16:13:30+00,,,,,,,,,OSCC,,,,,,GREATER EL CARISO RX,,RX,FI,33.64911,-117.412,,,{80B5D878-9218-4990-847B-D6CFC35620EE},,0,0,0,0,0,,000027,wildcad,,,,Orange,CASDIC,06059,USFS,CACNF,,USFS,Federal,,,,,,,SC08,USFS,CACNF,US-CA,,,,,,2023-CACNF-000027,No Decision,,,,2023/01/01 16:15:33+00,2023/03/06 14:33:01+00,0,,,{C8EFE8A0-3386-4C5C-A7B9-B8209E39FF3E},{C1F3BD35-B671-42FE-9ED4-D6379A593FA2}
-116.848311873,33.0707348190001,292728,23872242,,DEFAULT,,,wildcad,1,1,CASDIC,,,,,,,,,,Undetermined,,,,,2023/01/01 16:02:44+00,,,,,,,,,OSCC,,,,,,RAMONA FUELBREAK BROADCAST RX,,RX,FI,33.07073,-116.8483,,,{B7BDA86A-E27E-44F9-A794-1B57F164FF1B},,0,0,0,0,0,,000022,wildcad,,,,San Diego,CASDIC,06073,,,,Private,Private,,,,,,,SC08,USFS,CACNF,US-CA,,,,,,2023-CACNF-000022,No Decision,,,,2023/01/01 16:16:50+00,2023/01/01 16:16:52+00,0,,,{AAE6311D-1D99-4017-9DCA-E51F4DD4E004},{25DC9D9D-40B0-4DAE-AB70-250F4684BDF8}
-122.228902493,40.1705041490001,292762,23872278,,DEFAULT,2023/01/01 21:01:59+00,,cfcad,0.01,0.01,CATGCC,,,,,,,,,,Undetermined,,,,,2023/01/01 20:54:59+00,,,,,,,,,ONCC,,,,,,MAIN,,WF,FI,40.170499,-122.228889,,,{C7000061-AA1E-48EF-96D9-87A779C1D312},,0,0,0,0,0,,000036,cfcad,,,,Tehama,CATGCC,06103,,,,Private,Private,,,,,,,NC05,CAL FIRE,CATGU,US-CA,,,,,,2023-CATGU-000036,No Decision,,,,2023/01/01 21:01:43+00,2023/01/01 21:30:53+00,0,,,{70985EE5-3F21-4485-9D9E-B22C914880B5},{FF008B43-9531-40A6-A96B-A42767C9482A}
-95.7278403179999,33.8482859860001,292774,23872293,,DEFAULT,2023/01/01 23:22:00+00,2023/01/03 14:27:00+00,wires,50,50,TXTIC,,50,,,,Moderate,,,,Human,Debris and open burning,Other (remarks required),,,2023/01/01 19:33:00+00,Type 5 Incident,2023/01/04 22:01:01+00,,,,,,,SACC,,,,,,Lamar 0003,,WF,FI,33.84828,-95.727833,,,{BB4DC705-5A5D-4DA3-BF14-7AA365961C79},,0,,,,,0,230003,wires,100,,,Lamar,TXTIC,48277,State,TXTXS,,Private,Private,,,,,,,SA07,SFS,TXTXS,US-TX,,,Short Grass (1 foot),,,2023-TXTXS-230003,No Decision,,,,2023/01/01 21:26:34+00,2023/02/20 18:28:37+00,0,,,{8AF46200-842C-44C4-B9B9-AD181542178A},{3F8579C0-F1E8-4BA2-9205-103B44436A95}
-71.0579916149999,42.7760287520001,292784,23872298,,DEFAULT,,,INFORM_Inspector,0.23,0.23,NHNEC,,,,,,,,,,,,,,,2023/01/01 21:39:32+00,,,,,,,,,EACC,,,,,,MA05204,,WF,FI,,,,,{5FEE34F8-4DD3-4953-B02E-56F61E9CB2B7},,0,0,,,,,MA05204,INFORM_Inspector,,,,Essex,NHNEC,25009,,,,Private,Private,,,,,,,EA23,FFC,MAMAS,US-MA,,,,,,2023-MAMAS-MA05204,No Decision,,,,2023/01/01 21:42:01+00,2023/01/01 21:42:01+00,0,,,{6F0B0738-4E15-4861-8973-B5D6EF0414F4},{49B4C16F-3ACA-4C06-BF7A-8C7EAC60956F}
-117.154086976,33.7329828810001,292807,23872323,,DEFAULT,2023/01/01 23:55:00+00,,cfcad,0.01,0.01,CARRCC,,,,,,,,,,Undetermined,,,,,2023/01/01 23:37:47+00,,,,,,,,,OSCC,,,,,,MATTHEWS,,WF,FI,33.732978,-117.154075,,,{0A690F99-E5ED-4CA6-8486-A0D2C5F2B2DD},,0,0,0,0,0,,000395,cfcad,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CAL FIRE,CARRU,US-CA,,,,,,2023-CARRU-000395,No Decision,,,,2023/01/02 01:02:45+00,2023/01/02 07:57:20+00,0,,,{4C222CD7-D5CF-4C7C-8E19-53915D949D15},{10DAB8C2-DF47-43A4-B4AF-C88800D35DF6}
-118.210202233,34.660154925,292810,23872325,,DEFAULT,,,lacocad,,0.01,CALACC,,,,,,,,,,Undetermined,,,,,2023/01/02 01:28:11+00,,,,,,,,,OSCC,,,,,,LAC-000943,,WF,FI,34.66015,-118.21019,,,{84AAF865-6631-4F7D-9E26-91FC5FB76543},,0,,,,,,000943,lacocad,,,,Los Angeles,CALACC,06037,,,,Private,Private,,,,,,,SC15,C&L,CALAC,US-CA,,,,,,2023-CALAC-000943,No Decision,,,,2023/01/02 01:30:48+00,2023/01/02 01:30:48+00,0,,,{40F769EF-0C23-4C9A-84D7-73A4A7BD8401},{2D20A057-BABA-4BA4-96A6-D40F6E7536D4}
-118.172282229,34.68933493,292813,23872328,,DEFAULT,,,lacocad,,0.01,CALACC,,,,,,,,,,Undetermined,,,,,2023/01/02 03:57:54+00,,,,,,,,,OSCC,,,,,,LAC-001096,,WF,FI,34.68933,-118.17227,,,{0C9F0742-1D8C-498F-9880-B1233C6156DA},,0,,,,,,001096,lacocad,,,,Los Angeles,CALACC,06037,,,,Private,Private,,,,,,,SC15,C&L,CALAC,US-CA,,,,,,2023-CALAC-001096,No Decision,,,,2023/01/02 04:00:48+00,2023/01/02 04:00:48+00,0,,,{8AEDCA3B-2C78-4928-A46C-94E692E861AB},{F58F5ECA-076A-4C5D-84B1-61CD40019A75}
-116.162821798,33.672249928,292815,23872330,,DEFAULT,2023/01/02 05:25:00+00,,cfcad,0.01,0.01,CARRCC,,,,,,,,,,Undetermined,,,,,2023/01/02 05:14:34+00,,,,,,,,,OSCC,,,,,,TYLER ST  COAC,,WF,FI,33.672245,-116.16281,,,{99E29A9E-61E3-4054-A9C5-AF9ED7B02100},,0,0,0,0,0,,000547,cfcad,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC12,CAL FIRE,CARRU,US-CA,,,,,,2023-CARRU-000547,No Decision,,,,2023/01/02 05:37:00+00,2023/01/02 05:37:16+00,0,,,{CDA83F0F-AC06-41F8-847F-7C36EB9B3C26},{D07D158F-1354-4395-95F5-360316204EE6}
-117.523460051,33.8764598770001,292818,23872333,,DEFAULT,,,cfcad,,0.01,CARRCC,,,,,,,,,,Undetermined,,,,,2023/01/02 09:52:43+00,,,,,,,,,OSCC,,,,,,BYRON ST / MAGNOLIA AV,,WF,FI,33.876455,-117.523448,,,{A4BE05D6-3DF0-4922-9674-D0B5DAB5C317},,0,0,0,0,0,,000637,cfcad,,,,Riverside,CARRCC,06065,,,,Private,Private,,,,,,,SC08,CAL FIRE,CARRU,US-CA,,,,,,2023-CARRU-000637,No Decision,,,,2023/01/02 10:05:41+00,2023/01/02 10:05:41+00,0,,,{8BD8E46F-57EE-4E8C-AD1D-9C3736C18525},{B001E72F-40FA-4000-BA2B-2BDA44EA97D7}
